number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decoder_0_batch_norm,params_decoder_0_dropout,params_decoder_0_dropout_rate,params_decoder_1_activation,params_decoder_1_batch_norm,params_decoder_1_dropout,params_decoder_1_dropout_rate,params_decoder_1_units,params_decoder_2_activation,params_decoder_2_batch_norm,params_decoder_2_dropout,params_decoder_2_dropout_rate,params_decoder_2_units,params_decoder_3_activation,params_decoder_3_batch_norm,params_decoder_3_dropout,params_decoder_3_dropout_rate,params_decoder_3_units,params_decoder_4_activation,params_decoder_4_batch_norm,params_decoder_4_dropout,params_decoder_4_dropout_rate,params_decoder_4_units,params_decoder_5_activation,params_decoder_5_batch_norm,params_decoder_5_dropout,params_decoder_5_dropout_rate,params_decoder_5_units,params_dropout_rate,params_epochs,params_first_activation,params_first_layer_units,params_l1_strength,params_l2_strength,params_latent_activation,params_latent_dim,params_layer_1_activation,params_layer_1_batch_norm,params_layer_1_dropout,params_layer_1_dropout_rate,params_layer_1_strategy,params_layer_1_units,params_layer_2_activation,params_layer_2_batch_norm,params_layer_2_dropout,params_layer_2_dropout_rate,params_layer_2_strategy,params_layer_2_units,params_layer_3_activation,params_layer_3_batch_norm,params_layer_3_dropout,params_layer_3_dropout_rate,params_layer_3_strategy,params_layer_3_units,params_layer_4_activation,params_layer_4_batch_norm,params_layer_4_dropout,params_layer_4_dropout_rate,params_layer_4_strategy,params_layer_4_units,params_layer_5_activation,params_layer_5_batch_norm,params_layer_5_dropout,params_layer_5_dropout_rate,params_layer_5_strategy,params_layer_5_units,params_learning_rate,params_loss_function,params_lr_factor,params_lr_patience,params_momentum,params_n_encoder_layers,params_optimizer,params_output_activation,params_patience,params_reg_strength,params_regularization_type,params_scaler_type,params_stride,params_train_split,params_use_batch_norm,params_use_dropout,params_use_lr_scheduler,params_weight_decay,state
20,inf,2025-07-14 13:17:27.322581,2025-07-14 13:17:56.260867,0 days 00:00:28.938286,97,True,True,0.3376497342506025,gelu,False,False,,262,tanh,False,True,0.32146283339962634,74.0,relu,True,True,0.38228324837976546,217.0,,,,,,,,,,,0.37919124400184606,69,gelu,230,1.3268099923669393e-05,5.283769110608833e-05,relu,36,leaky_relu,True,True,0.2670680353981242,same,,gelu,True,True,0.3567976969807933,same,,gelu,True,False,,same,,,,,,,,,,,,,,0.0005848128151456731,mae,0.309940828184887,15.0,,4,adam,tanh,32,,l1_l2,none,30,0.72424178263171,False,True,True,,COMPLETE
21,inf,2025-07-14 13:17:56.321139,2025-07-14 13:18:16.880004,0 days 00:00:20.558865,91,True,False,,leaky_relu,False,False,,380,elu,True,True,0.3696969273271051,94.0,selu,True,False,,328.0,tanh,True,False,,9.0,,,,,,0.28431728911024423,111,swish,148,,,elu,33,relu,True,True,0.105747277340253,decrease,,relu,False,True,0.15372725774920765,decrease,,gelu,False,True,0.17811545512226024,decrease,,tanh,False,True,0.12291244430645122,decrease,,,,,,,,0.04325154890825121,huber,,,,5,adamw,relu,22,0.017543437173935934,l2,minmax,39,0.8909416886991446,False,True,False,1.5214606632007087e-05,COMPLETE
22,inf,2025-07-14 13:18:16.907508,2025-07-14 13:18:39.805070,0 days 00:00:22.897562,67,True,False,,leaky_relu,False,False,,313,elu,True,True,0.39473631660285413,8.0,selu,True,False,,388.0,tanh,True,False,,42.0,,,,,,0.28386999322688966,110,swish,166,,,elu,15,relu,True,True,0.16585397346536634,decrease,,relu,False,True,0.21831069240465653,decrease,,gelu,False,True,0.3024539337647998,decrease,,tanh,False,True,0.10849758256228861,decrease,,,,,,,,0.030411610418321623,huber,,,,5,adamw,relu,26,0.01229383503244708,l2,minmax,45,0.8823875960336701,False,True,False,1.1627497529978298e-05,COMPLETE
23,inf,2025-07-14 13:18:39.859728,2025-07-14 13:19:00.591889,0 days 00:00:20.732161,106,True,False,,leaky_relu,False,False,,425,elu,True,True,0.24641101530865017,214.0,leaky_relu,True,False,,283.0,relu,True,False,,135.0,elu,False,True,0.1066500744016094,506.0,0.16327258659921037,145,swish,192,,,elu,33,relu,True,True,0.14948195990873625,decrease,,relu,False,True,0.23897842452230894,decrease,,elu,False,True,0.2823781787482852,decrease,,tanh,False,True,0.24484265513639109,increase,,swish,True,False,,increase,,0.004960208022598457,huber,,,,6,adamw,relu,18,0.032952237507140665,l2,minmax,51,0.8593377630112489,False,True,False,0.0002485612577188514,COMPLETE
24,inf,2025-07-14 13:19:00.614161,2025-07-14 13:19:21.340085,0 days 00:00:20.725924,88,True,False,,leaky_relu,False,False,,349,tanh,True,True,0.4923344623306435,323.0,tanh,True,False,,369.0,,,,,,,,,,,0.34810429282344235,92,swish,230,,,elu,44,leaky_relu,True,True,0.16108461225982257,decrease,,leaky_relu,False,True,0.10239734744991316,decrease,,tanh,False,True,0.2760319583547463,decrease,,,,,,,,,,,,,,0.017868008500990518,huber,,,,4,adamw,relu,23,0.002437368148158097,l2,minmax,37,0.8665535827998457,False,True,False,0.0003942622897294374,COMPLETE
25,inf,2025-07-14 13:19:21.363800,2025-07-14 13:20:06.515436,0 days 00:00:45.151636,51,True,False,,tanh,False,False,,451,elu,True,True,0.29819881958884253,98.0,elu,True,False,,450.0,tanh,False,False,,118.0,,,,,,0.26500815183451937,67,tanh,166,,,linear,26,elu,True,True,0.3165351633664054,decrease,,leaky_relu,False,True,0.3737046040984136,decrease,,leaky_relu,False,True,0.1152184740848758,increase,,selu,True,False,,decrease,,,,,,,,0.005432824020288525,huber,,,,5,adam,relu,28,0.0003665127320148611,l2,minmax,44,0.7435887685623658,False,True,False,,COMPLETE
26,inf,2025-07-14 13:20:06.540731,2025-07-14 13:20:07.477633,0 days 00:00:00.936902,72,False,False,,gelu,True,True,0.4999233242205367,213,gelu,True,False,,384.0,gelu,False,False,,204.0,gelu,True,True,0.4498838686067891,169.0,gelu,True,False,,252.0,,124,relu,139,,,tanh,37,gelu,False,False,,custom,512.0,relu,False,True,0.24149053265665302,custom,34.0,gelu,True,True,0.37194395344710873,custom,12.0,elu,False,True,0.24753058761591556,same,,selu,True,True,0.47886338465639783,increase,,0.036562348157566725,logcosh,,,,6,adamw,linear,22,,none,robust,22,0.8184010170969661,True,False,False,6.278560345225792e-05,COMPLETE
27,inf,2025-07-14 13:20:07.504477,2025-07-14 13:20:30.124207,0 days 00:00:22.619730,58,True,False,,selu,False,False,,289,selu,True,True,0.40150418580467645,286.0,selu,True,True,0.19614742596942505,77.0,swish,False,True,0.2120123139929398,336.0,,,,,,0.393381919164829,181,selu,219,,,swish,52,swish,True,True,0.18562380108901533,increase,,elu,False,False,,increase,,selu,False,False,,decrease,,swish,True,False,,decrease,,,,,,,,0.02775335343466517,mse,0.11765191107444212,8.0,,5,rmsprop,sigmoid,11,0.014110513369292503,l1,standard,22,0.7947746854570614,False,True,True,,COMPLETE
28,inf,2025-07-14 13:20:30.148543,2025-07-14 13:20:43.131072,0 days 00:00:12.982529,35,False,True,0.21541549024204298,swish,True,False,,412,swish,True,True,0.18902479583605958,136.0,,,,,,,,,,,,,,,,,152,elu,170,,,gelu,43,selu,True,False,,decrease,,gelu,True,False,,same,,,,,,,,,,,,,,,,,,,,0.09337651692633729,huber,,,,3,adam,relu,38,0.09463396211982093,l2,minmax,31,0.8671917174277504,False,False,False,,COMPLETE
29,inf,2025-07-14 13:20:43.156604,2025-07-14 13:20:43.795575,0 days 00:00:00.638971,81,False,True,0.10444501469382483,elu,True,True,0.21777790126006638,159,relu,False,False,,48.0,selu,True,True,0.34695173393255774,330.0,,,,,,,,,,,,101,leaky_relu,87,,,gelu,33,tanh,False,False,,same,,tanh,False,True,0.31315447991735273,decrease,,selu,False,True,0.20556952292930913,decrease,,,,,,,,,,,,,,0.00755399940054011,logcosh,0.3891824348888739,18.0,,4,adam,relu,46,,none,minmax,40,0.7000336695309587,True,False,True,,COMPLETE
30,inf,2025-07-14 13:20:43.817668,2025-07-14 13:21:12.193270,0 days 00:00:28.375602,111,True,False,,relu,False,False,,232,,,,,,,,,,,,,,,,,,,,,0.1682850791233092,132,relu,126,0.0014260193885779718,0.0052688936716258844,elu,64,selu,True,True,0.10442964229246052,custom,308.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0033007936454574763,mae,0.4666223628005173,10.0,,2,adamw,tanh,42,,l1_l2,none,49,0.7207334980289664,False,True,True,0.005033603655565514,COMPLETE
31,inf,2025-07-14 13:21:12.217880,2025-07-14 13:21:12.881086,0 days 00:00:00.663206,78,False,True,0.2754475134252927,relu,True,True,0.33172367127774616,198,swish,False,False,,366.0,swish,True,True,0.4946160967105065,291.0,,,,,,,,,,,,126,relu,98,,,gelu,55,selu,False,False,,custom,507.0,selu,False,False,,custom,399.0,relu,True,False,,increase,,,,,,,,,,,,,,0.002539054737362602,logcosh,0.6688604819998596,5.0,,4,adam,relu,19,,none,minmax,36,0.7146913037104057,True,False,True,,COMPLETE
32,inf,2025-07-14 13:21:12.903102,2025-07-14 13:21:13.538133,0 days 00:00:00.635031,65,False,True,0.2605238451060409,relu,True,True,0.26269906729993214,83,swish,False,False,,442.0,swish,True,True,0.4765799058504352,275.0,,,,,,,,,,,,134,gelu,125,,,gelu,59,selu,False,False,,custom,322.0,selu,False,False,,custom,250.0,relu,True,False,,increase,,,,,,,,,,,,,,0.024428157629869218,logcosh,0.6040125527507301,6.0,,4,adam,linear,44,,none,minmax,41,0.7719092698799436,True,False,True,,COMPLETE
33,inf,2025-07-14 13:21:13.562875,2025-07-14 13:21:14.267115,0 days 00:00:00.704240,92,False,True,0.33707356078583683,gelu,True,True,0.4165502754724807,171,swish,False,False,,471.0,swish,True,True,0.31822329299466046,339.0,,,,,,,,,,,,117,relu,108,,,relu,59,selu,False,False,,custom,405.0,selu,False,False,,custom,298.0,relu,True,False,,increase,,,,,,,,,,,,,,0.0011227677514732822,logcosh,0.7609827747536889,7.0,,4,rmsprop,relu,39,,none,minmax,42,0.7128537402879419,True,False,True,,COMPLETE
