,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2022-03-11,27.160000,27.350000,25.880000,26.010000,26.010000,310317,0.000000,1.000000
2022-03-14,25.760000,26.710000,25.100000,25.230000,25.230000,292867,0.000000,1.000000
2022-03-15,25.460000,27.000000,25.090000,26.440000,26.440000,452576,0.000000,1.000000
2022-03-16,26.860000,28.150000,26.500000,28.120000,28.120000,685221,0.000000,1.000000
2022-03-17,27.870000,28.930000,27.410000,28.780000,28.780000,464686,0.000000,1.000000
2022-03-18,28.550000,29.420000,28.480000,28.890000,28.890000,1355841,0.000000,1.000000
2022-03-21,28.650000,29.100000,28.070000,29.000000,29.000000,525705,0.000000,1.000000
2022-03-22,29.000000,29.420000,28.590000,29.210000,29.210000,895845,0.000000,1.000000
2022-03-23,28.950000,29.130000,28.085000,28.540000,28.540000,319170,0.000000,1.000000
2022-03-24,29.000000,29.000000,27.600000,28.280000,28.280000,398253,0.000000,1.000000
2022-03-25,28.370000,28.370000,27.050000,27.960000,27.960000,236830,0.000000,1.000000
2022-03-28,27.790000,28.440000,26.885000,28.160000,28.160000,424528,0.000000,1.000000
2022-03-29,28.440000,29.520000,28.280000,29.340000,29.340000,253014,0.000000,1.000000
2022-03-30,29.010000,29.855000,28.785000,29.010000,29.010000,524079,0.000000,1.000000
2022-03-31,29.100000,29.972500,28.770000,29.110000,29.110000,602249,0.000000,1.000000
2022-04-01,29.250000,30.430000,29.250000,30.200000,30.200000,401362,0.000000,1.000000
2022-04-04,30.260000,31.060000,30.000000,30.350000,30.350000,567786,0.000000,1.000000
2022-04-05,30.400000,30.620000,29.320000,29.390000,29.390000,441266,0.000000,1.000000
2022-04-06,29.300000,29.850000,28.260000,28.970000,28.970000,273356,0.000000,1.000000
2022-04-07,28.790000,29.440000,28.300000,28.820000,28.820000,146773,0.000000,1.000000
2022-04-08,28.650000,29.060000,27.970000,27.970000,27.970000,232515,0.000000,1.000000
2022-04-11,27.560000,28.760000,27.320000,28.530000,28.530000,221406,0.000000,1.000000
2022-04-12,28.990000,30.120000,28.970000,29.100000,29.100000,424964,0.000000,1.000000
2022-04-13,29.020000,30.600000,28.960000,30.570000,30.570000,242503,0.000000,1.000000
2022-04-14,30.530000,30.990000,29.870000,29.890000,29.890000,290785,0.000000,1.000000
2022-04-18,29.720000,29.890000,28.440000,28.830000,28.830000,262237,0.000000,1.000000
2022-04-19,28.780000,29.725000,28.580000,28.880000,28.880000,416527,0.000000,1.000000
2022-04-20,29.160000,29.160000,27.090000,27.140000,27.140000,435855,0.000000,1.000000
2022-04-21,26.980000,27.640000,25.520000,25.550000,25.550000,307270,0.000000,1.000000
2022-04-22,25.580000,25.710000,24.650000,24.760000,24.760000,259664,0.000000,1.000000
2022-04-25,24.520000,26.210000,24.160000,26.060000,26.060000,441220,0.000000,1.000000
2022-04-26,25.760000,26.530000,24.660000,25.000000,25.000000,306905,0.000000,1.000000
2022-04-27,25.030000,25.930000,25.000000,25.100000,25.100000,252169,0.000000,1.000000
2022-04-28,25.310000,26.020000,24.660000,25.620000,25.620000,389702,0.000000,1.000000
2022-04-29,25.320000,26.010000,24.520000,24.630000,24.630000,315541,0.000000,1.000000
